IATA_Code,ICAO_Code,NumOfDest,AirportName,City,State,Latitude,Longitude,Altitude
DIK,KDIK,2,Dickinson Theodore Roosevelt Regional Airport,Dickinson,ND,46.7974014282,-102.80200195299999,2592
DLG,PADL,1,Dillingham Airport,Dillingham,AK,59.04470062,-158.50500490000002,81
DLH,KDLH,2,Duluth International Airport,Duluth,MN,46.8420982361,-92.19360351559999,1428
DRO,KDRO,6,Durango La Plata County Airport,Durango,CO,37.1515007019,-107.75399780299999,6685
DRT,KDRT,1,Del Rio International Airport,Del Rio,TX,29.3742008209,-100.92700195299999,1002
DSM,KDSM,28,Des Moines International Airport,Des Moines,IA,41.53400039672852,-93.66310119628906,958
DTW,KDTW,125,Detroit Metropolitan Wayne County Airport,Detroit,MI,42.212398529052734,-83.35340118408203,645
DVL,KDVL,2,Devils Lake Regional Airport,Devils Lake,ND,48.11420059,-98.90879822,1456
EAR,KEAR,2,Kearney Regional Airport,Kearney,NE,40.726944,-99.006667,2131
EAU,KEAU,1,Chippewa Valley Regional Airport,Eau Claire,WI,44.86579895019531,-91.48429870605469,913
ECP,KECP,14,Northwest Florida Beaches International Airport,Panama City,FL,30.357105999999998,-85.79541400000001,69
EFD,KEFD,1,Ellington Airport,Houston,TX,29.6072998047,-95.15879821780001,32
EGE,KEGE,16,Eagle County Regional Airport,Vail,CO,39.64260101,-106.9179993,6548
EKO,KEKO,1,Elko Regional Airport,Elko,NV,40.82490158081055,-115.79199981689452,5140
ELM,KELM,6,Elmira Corning Regional Airport,Elmira,NY,42.1599006652832,-76.8916015625,954
ELP,KELP,17,El Paso International Airport,El Paso,TX,31.80719948,-106.37799840000002,3959
ENV,KENV,0,Wendover Airport,Wendover,UT,40.7187004089,-114.03099823,4237
ERI,KERI,3,Erie International Tom Ridge Field,Erie,PA,42.0831270134,-80.1738667488,732
ESC,KESC,1,Delta County Airport,Escanaba,MI,45.7226982117,-87.0936965942,609
EUG,KEUG,15,Mahlon Sweet Field,Eugene,OR,44.12459945678711,-123.21199798583984,374
EVV,KEVV,7,Evansville Regional Airport,Evansville,IN,38.0369987488,-87.53240203860001,418
EWN,KEWN,2,Coastal Carolina Regional Airport,New Bern,NC,35.0730018616,-77.04290008539998,18
EWR,KEWR,102,Newark Liberty International Airport,Newark,NJ,40.69250106811523,-74.168701171875,18
EYW,KEYW,9,Key West International Airport,Key West,FL,24.556100845336914,-81.75959777832031,3
FAI,PAFA,7,Fairbanks International Airport,Fairbanks,AK,64.81510162,-147.85600280000003,439
FAR,KFAR,12,Hector International Airport,Fargo,ND,46.92070007324219,-96.81580352783205,902
FAT,KFAT,11,Fresno Yosemite International Airport,Fresno,CA,36.77619934082031,-119.71800231933594,336
FAY,KFAY,2,Fayetteville Regional Grannis Field,Fayetteville,NC,34.991199493408196,-78.88030242919922,189
FCA,KGPI,12,Glacier Park International Airport,Kalispell,MT,48.31050109863281,-114.25599670410156,2977
FLG,KFLG,3,Flagstaff Pulliam Airport,Flagstaff,AZ,35.13850021,-111.6709976,7014
FLL,KFLL,84,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,FL,26.072599,-80.152702,9
FLO,KFLO,1,Florence Regional Airport,Florence,SC,34.18539810180664,-79.7238998413086,146
FNL,KFNL,0,Northern Colorado Regional Airport,Fort Collins,CO,40.451803999999996,-105.01100000000001,5016
FNT,KFNT,17,Bishop International Airport,Flint,MI,42.96540069580078,-83.74359893798828,782
FSD,KFSD,12,Joe Foss Field Airport,Sioux Falls,SD,43.5820007324,-96.741897583,1429
FSM,KFSM,2,Fort Smith Regional Airport,Fort Smith,AR,35.33660125732422,-94.36740112304688,469
FWA,KFWA,14,Fort Wayne International Airport,Fort Wayne,IN,40.97850037,-85.19509888,814
GCC,KGCC,4,Gillette Campbell County Airport,Gillette,WY,44.3488998413,-105.539001465,4365
GCK,KGCK,1,Garden City Regional Airport,Garden City,KS,37.9275016785,-100.72399902299999,2891
GEG,KGEG,20,Spokane International Airport,Spokane,WA,47.61989974975586,-117.53399658203124,2376
GFK,KGFK,4,Grand Forks International Airport,Grand Forks,ND,47.949298999999996,-97.176102,845
GGG,KGGG,1,East Texas Regional Airport,Longview,TX,32.38399887084961,-94.71150207519531,365
GJT,KGJT,12,Grand Junction Regional Airport,Grand Junction,CO,39.1223983765,-108.527000427,4858
GNV,KGNV,4,Gainesville Regional Airport,Gainesville,FL,29.6900997162,-82.27179718020001,152
GPT,KGPT,5,Gulfport Biloxi International Airport,Gulfport,MS,30.40730094909668,-89.07009887695312,28
GRB,KGRB,8,Austin Straubel International Airport,Green Bay,WI,44.48509979248047,-88.12960052490234,695
GRI,KGRI,3,Central Nebraska Regional Airport,Grand Island,NE,40.96749877929688,-98.30960083007812,1847
GRK,KGRK,3,Robert Gray  Army Air Field Airport,Killeen,TX,31.067199706999997,-97.8289031982,1015
GRR,KGRR,34,Gerald R. Ford International Airport,Grand Rapids,MI,42.88079834,-85.52279663,794
GSO,KGSO,19,Piedmont Triad International Airport,Greensboro,NC,36.097801208496094,-79.93730163574219,925
GSP,KGSP,27,Greenville Spartanburg International Airport,Greenville,SC,34.895698547399995,-82.2189025879,964
GST,PAGS,1,Gustavus Airport,Gustavus,AK,58.42530060000001,-135.7070007,35
GTF,KGTF,7,Great Falls International Airport,Great Falls,MT,47.48199844,-111.3710022,3680
GTR,KGTR,1,Golden Triangle Regional Airport,Columbus Mississippi,MS,33.450298309299995,-88.59140014649999,264
GUC,KGUC,4,Gunnison Crested Butte Regional Airport,Gunnison,CO,38.53390121,-106.9329987,7680
GUM,PGUM,2,Antonio B. Won Pat International Airport,Agana,TT,13.4834003448,144.796005249,298
HDN,KHDN,15,Yampa Valley Airport,Hayden,CO,40.48120117,-107.21800230000001,6606
HGR,KHGR,3,Hagerstown Regional Richard A Henson Field,Hagerstown,MD,39.707901,-77.72949982,703
HHH,KHXD,7,Hilton Head Airport,Hilton Head Island,SC,32.2243995667,-80.6975021362,19
HIB,KHIB,2,Range Regional Airport,Hibbing,MN,47.38660049,-92.83899689,1354
HLN,KHLN,3,Helena Regional Airport,Helena,MT,46.6068000793457,-111.98300170898438,3877
HNL,PHNL,31,Daniel K Inouye International Airport,Honolulu,HI,21.32062,-157.924228,13
HOB,KHOB,2,Lea County Regional Airport,Hobbs,NM,32.6875,-103.21700290000001,3661
HOU,KHOU,62,William P Hobby Airport,Houston,TX,29.64539909,-95.27890015,46
HPN,KHPN,11,Westchester County Airport,White Plains,NY,41.06700134277344,-73.70760345458984,439
HRL,KHRL,8,Valley International Airport,Harlingen,TX,26.228500366210934,-97.65440368652344,36
HSV,KHSV,10,Huntsville International Carl T Jones Field,Huntsville,AL,34.637199401855,-86.775100708008,629
HTS,KHTS,6,Tri-State/Milton J. Ferguson Field,Huntington,WV,38.36669922,-82.55799866,828
HVN,KHVN,2,Tweed New Haven Airport,New Haven,CT,41.26369858,-72.88680267,12
HYA,KHYA,1,Barnstable Municipal Boardman Polando Field,Barnstable,MA,41.66930008,-70.28040314,54
HYS,KHYS,2,Hays Regional Airport,Hays,KS,38.84220123,-99.27320099,1999
IAD,KIAD,93,Washington Dulles International Airport,Washington,DC,38.94449997,-77.45580292,312
IAG,KIAG,7,Niagara Falls International Airport,Niagara Falls,NY,43.1072998046875,-78.94619750976562,589
IAH,KIAH,126,George Bush Intercontinental Houston Airport,Houston,TX,29.98439979553223,-95.34140014648438,97
ICT,KICT,17,Wichita Eisenhower National Airport,Wichita,KS,37.649899,-97.433098,1333
IDA,KIDA,7,Idaho Falls Regional Airport,Idaho Falls,ID,43.514599,-112.070999,4744
IFP,KIFP,1,Laughlin/Bullhead International Airport,Laughlin/Bullhead,AZ,35.156111,-114.559444,707
ILG,KILG,2,New Castle Airport,Wilmington,DE,39.67869949,-75.60649872,80
ILM,KILM,8,Wilmington International Airport,Wilmington,NC,34.27059936523437,-77.90260314941406,32
IMT,KIMT,3,Ford Airport,Iron Mountain,MI,45.8184013367,-88.11450195309999,1182
IND,KIND,50,Indianapolis International Airport,Indianapolis,IN,39.7173,-86.294403,797
INL,KINL,3,Falls International Airport,International Falls,MN,48.566200256347656,-93.4030990600586,1185
ISN,KISN,4,Sloulin Field International Airport,Williston,ND,48.177898407,-103.64199829100001,1982
ISP,KISP,15,Long Island Mac Arthur Airport,Islip,NY,40.79520035,-73.10019684,99
ITH,KITH,2,Ithaca Tompkins Regional Airport,Ithaca,NY,42.49100112915039,-76.4583969116211,1099
ITO,PHTO,3,Hilo International Airport,Hilo,HI,19.721399307250977,-155.04800415039062,38
JAC,KJAC,15,Jackson Hole Airport,Jacksn Hole,WY,43.6072998046875,-110.73799896240234,6451
JAN,KJAN,8,Jackson-Medgar Wiley Evers International Airport,Jackson,MS,32.3111991882,-90.0758972168,346
JAX,KJAX,42,Jacksonville International Airport,Jacksonville,FL,30.49410057067871,-81.68789672851562,30
JFK,KJFK,73,John F Kennedy International Airport,New York,NY,40.63980103,-73.77890015,13
JLN,KJLN,2,Joplin Regional Airport,Joplin,MO,37.151798248291016,-94.49829864501952,981
JMS,KJMS,2,Jamestown Regional Airport,Jamestown,ND,46.92969894,-98.67819977,1500
JNU,PAJN,8,Juneau International Airport,Juneau,AK,58.35499954223633,-134.57600402832028,21
KOA,PHKO,16,Ellison Onizuka Kona International At Keahole Airport,Kona,HI,19.738782999999998,-156.045603,47
KTN,PAKT,4,Ketchikan International Airport,Ketchikan,AK,55.35559845,-131.7140045,89
LAN,KLAN,6,Capital City Airport,Lansing,MI,42.77870178222656,-84.58740234375,861
LAR,KLAR,1,Laramie Regional Airport,Laramie,WY,41.31209945678711,-105.6750030517578,7284
LAS,KLAS,124,McCarran International Airport,Las Vegas,NV,36.08010101,-115.15200039999999,2181
LAW,KLAW,1,Lawton Fort Sill Regional Airport,Lawton,OK,34.5676994324,-98.4166030884,1110
LAX,KLAX,118,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.40799709999999,125
LBB,KLBB,9,Lubbock Preston Smith International Airport,Lubbock,TX,33.663601,-101.822998,3282
LBE,KLBE,7,Arnold Palmer Regional Airport,Latrobe,PA,40.27590179,-79.40480042,1199
LBF,KLBF,1,North Platte Regional Airport Lee Bird Field,North Platte,NE,41.12620163,-100.6839981,2777
LBL,KLBL,2,Liberal Mid-America Regional Airport,Liberal,KS,37.04420089999999,-100.95999909999999,2885
LCH,KLCH,2,Lake Charles Regional Airport,Lake Charles,LA,30.12610054016113,-93.22329711914062,15
LCK,KLCK,12,Rickenbacker International Airport,Columbus,OH,39.813801,-82.927803,744
LEX,KLEX,19,Blue Grass Airport,Lexington KY,KY,38.0364990234375,-84.60590362548828,979
LFT,KLFT,5,Lafayette Regional Airport,Lafayette,LA,30.20529938,-91.98760223,42
LGA,KLGA,81,La Guardia Airport,New York,NY,40.77719879,-73.87259674,21
LGB,KLGB,21,Long Beach /Daugherty Field/ Airport,Long Beach,CA,33.81769943,-118.15200039999999,60
LIH,PHLI,13,Lihue Airport,Lihue,HI,21.97599983215332,-159.33900451660156,153
LIT,KLIT,19,Bill & Hillary Clinton National Airport/Adams Field,Little Rock,AR,34.729400634799994,-92.22429656979999,262
LNK,KLNK,5,Lincoln Airport,Lincoln,NE,40.85100173950195,-96.75920104980469,1219
LRD,KLRD,3,Laredo International Airport,Laredo,TX,27.543800354003906,-99.46160125732422,508
LSE,KLSE,3,La Crosse Municipal Airport,La Crosse,WI,43.879002,-91.256699,655
LWB,KLWB,3,Greenbrier Valley Airport,Lewisburg,WV,37.8582992554,-80.3994979858,2302
LWS,KLWS,3,Lewiston Nez Perce County Airport,Lewiston,ID,46.3745002746582,-117.01499938964844,1442
LYH,KLYH,1,Lynchburg Regional Preston Glenn Field,Lynchburg,VA,37.326698303222656,-79.20040130615234,938
MAF,KMAF,7,Midland International Airport,Midland,TX,31.9424991607666,-102.2020034790039,2871
MBS,KMBS,4,MBS International Airport,Saginaw,MI,43.532901763916016,-84.07959747314453,668
MCI,KMCI,56,Kansas City International Airport,Kansas City,MO,39.2976,-94.713898,1026
MCO,KMCO,99,Orlando International Airport,Orlando,FL,28.429399490356445,-81.30899810791016,96
MDT,KMDT,17,Harrisburg International Airport,Harrisburg,PA,40.1935005188,-76.7633972168,310
MDW,KMDW,77,Chicago Midway International Airport,Chicago,IL,41.785999,-87.752403,620
MEI,KMEI,3,Key Field,Meridian,MS,32.33259963989258,-88.75189971923828,297
MEM,KMEM,34,Memphis International Airport,Memphis,TN,35.04240036010742,-89.97669982910156,341
MFE,KMFE,7,Mc Allen Miller International Airport,Mcallen,TX,26.17580032,-98.23860168,107
MFR,KMFR,8,Rogue Valley International Medford Airport,Medford,OR,42.37419891357422,-122.8730010986328,1335
MGM,KMGM,4,Montgomery Regional (Dannelly Field) Airport,MONTGOMERY,AL,32.30059814,-86.39399719,221
MHK,KMHK,5,Manhattan Regional Airport,Manhattan,KS,39.14099884033203,-96.6707992553711,1057
MHT,KMHT,16,Manchester-Boston Regional Airport,Manchester NH,NH,42.932598,-71.435699,266
MIA,KMIA,72,Miami International Airport,Miami,FL,25.79319953918457,-80.29060363769531,8
MKE,KMKE,43,General Mitchell International Airport,Milwaukee,WI,42.94720077514648,-87.89659881591797,723
MKG,KMKG,1,Muskegon County Airport,Muskegon,MI,43.16949844,-86.23819733,629
MLB,KMLB,5,Melbourne International Airport,Melbourne,FL,28.10280036926269,-80.64530181884766,33
MLI,KMLI,11,Quad City International Airport,Moline,IL,41.44850158691406,-90.50749969482422,590
MLU,KMLU,3,Monroe Regional Airport,Monroe,LA,32.51089859008789,-92.0376968383789,79
MMH,KMMH,3,Mammoth Yosemite Airport,Mammoth Lakes,CA,37.62409973,-118.83799740000002,7135
MOB,KMOB,5,Mobile Regional Airport,Mobile,AL,30.691200256348,-88.242797851562,219
MOT,KMOT,5,Minot International Airport,Minot,ND,48.2593994140625,-101.27999877929688,1716
MQT,KSAW,4,Sawyer International Airport,Gwinn,MI,46.3535995483,-87.39540100100001,1221
MRY,KMRY,7,Monterey Peninsula Airport,Monterey,CA,36.58700180053711,-121.84300231933594,257
MSN,KMSN,29,Dane County Regional Truax Field,Madison,WI,43.13990020751953,-89.3375015258789,887
MSO,KMSO,12,Missoula International Airport,Missoula,MT,46.91630173,-114.0910034,3206
MSP,KMSP,137,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,MN,44.882,-93.221802,841
MSY,KMSY,54,Louis Armstrong New Orleans International Airport,New Orleans,LA,29.99340057373047,-90.25800323486328,4
MTJ,KMTJ,12,Montrose Regional Airport,Montrose CO,CO,38.5097999573,-107.89399719200001,5759
MVY,KMVY,4,Martha's Vineyard Airport,Vineyard Haven MA,MA,41.393100738499996,-70.6143035889,67
MYR,KMYR,49,Myrtle Beach International Airport,Myrtle Beach,SC,33.6796989441,-78.9282989502,25
OAJ,KOAJ,2,Albert J Ellis Airport,Jacksonville NC,NC,34.8292007446,-77.61209869380002,94
OAK,KOAK,54,Metropolitan Oakland International Airport,Oakland,CA,37.721298,-122.221001,9
OGD,KOGD,3,Ogden Hinckley Airport,Ogden,UT,41.195899963379,-112.0120010376,4473
OGG,PHOG,20,Kahului Airport,Kahului,HI,20.8986,-156.429993,54
OGS,KOGS,4,Ogdensburg International Airport,Ogdensburg,NY,44.681900024399994,-75.46549987790002,297
OKC,KOKC,35,Will Rogers World Airport,Oklahoma City,OK,35.39310073852539,-97.60070037841795,1295
OMA,KOMA,36,Eppley Airfield,Omaha,NE,41.3032,-95.89409599999999,984
OME,PAOM,3,Nome Airport,Nome,AK,64.51219940185547,-165.44500732421875,37
ONT,KONT,22,Ontario International Airport,Ontario,CA,34.05599975585937,-117.60099792480469,944
ORD,KORD,197,Chicago O'Hare International Airport,Chicago,IL,41.9786,-87.9048,672
ORF,KORF,32,Norfolk International Airport,Norfolk,VA,36.89459991455078,-76.20120239257812,26
ORH,KORH,5,Worcester Regional Airport,Worcester,MA,42.26729965209961,-71.87570190429688,1009
OTH,KOTH,2,Southwest Oregon Regional Airport,North Bend,OR,43.41709899902344,-124.24600219726562,17
OTZ,PAOT,2,Ralph Wien Memorial Airport,Kotzebue,AK,66.88469696,-162.598999,14
OWB,KOWB,1,Owensboro Daviess County Airport,Owensboro,KY,37.74010086,-87.16680145,407
PAE,KPAE,2,Snohomish County (Paine Field) Airport,Everett,WA,47.90629959,-122.28199769999999,606
PAH,KPAH,2,Barkley Regional Airport,PADUCAH,KY,37.06079864501953,-88.7738037109375,410
PBG,KPBG,7,Plattsburgh International Airport,Plattsburgh,NY,44.6509017944336,-73.46810150146484,234
PBI,KPBI,35,Palm Beach International Airport,West Palm Beach,FL,26.68320083618164,-80.09559631347656,19
PDX,KPDX,58,Portland International Airport,Portland,OR,45.58869934,-122.59799960000001,31
PGD,KPGD,52,Charlotte County Airport,Punta Gorda,FL,26.92020035,-81.99050140000001,26
PGV,KPGV,1,Pitt Greenville Airport,Greenville,NC,35.6352005,-77.38529968,26
PHF,KPHF,4,Newport News Williamsburg International Airport,Newport News,VA,37.13190079,-76.49299622,42
PHL,KPHL,97,Philadelphia International Airport,Philadelphia,PA,39.87189865112305,-75.24109649658203,36
PHX,KPHX,106,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43429946899414,-112.01200103759766,1135
PIA,KPIA,14,General Wayne A. Downing Peoria International Airport,Peoria,IL,40.664199829100006,-89.6932983398,660
PIB,KPIB,2,Hattiesburg Laurel Regional Airport,Hattiesburg/Laurel,MS,31.467100143432614,-89.33709716796875,298
PIE,KPIE,61,St Petersburg Clearwater International Airport,St. Petersburg,FL,27.91020012,-82.68740082,11
PIH,KPIH,1,Pocatello Regional Airport,Pocatello,ID,42.9098014831543,-112.59600067138672,4452
PIR,KPIR,2,Pierre Regional Airport,Pierre,SD,44.38270187,-100.2860031,1744
PIT,KPIT,49,Pittsburgh International Airport,Pittsburgh,PA,40.49150085,-80.23290253,1203
