CityName,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
Amarillo,31.2427,28.8934,26.5628,27.277,28.2428,29.67,31.131,21.3211,17.0921,23.36,23.9068,20.1136,20.1143,14.9149,23.1613,23.2857,25.8556,38.0971,38.4891,29.037,20.8714,19.0538,24.4211,23.7248,27.5701,18.8507,23.56,28.5867,31.5155,33.1515,27.0345,31.8909,22.9828,21.5256,18.1429,25.1376,25.3393,31.3623,32.3507,28.9699,33.1462,42.3333,32.4372,33.9037,42.9805,31.623,40.4571,35.1622,31.2357,44.0204,28.1944,37.6486,43.9167,40.4624,35.3117,36.6289,35.4732,50.5399,31.9518,59.9172
Anchorage,32.2757,30.0033,26.2104,21.3333,18.184,24.0094,24.0893,22.6599,22.1042,24.8126,28.297,26.1429,29.0585,24.1951,24.0988,20.4522,19.3608,23.9447,23.5069,24.6841,18.1741,24.8724,23.4716,28.7798,33.4444,34.2839,23.1935,28.124,20.6518,24.2947,27.8131,23.7512,21.1436,21.8354,29.9363,25.9901,21.7179,22.3414,22.1224,21.4611,21.8095,23.6744,26.4967,25.9265,23.6351,25.9333,34.7989,26.7295,24.7909,39.646,20.5211,26.0757,24.6434,25.5657,29.8904,25.6809,21.5309,22.527,20.9333,32.9421
Appleton,35.0102,37.9909,26.988,22.7846,27.8315,31.3012,23.3852,25.6148,18.4839,18.5106,24.5753,34.3793,28.964,25.1786,33.9726,23.4545,21.0976,49.0392,36.5375,28.8852,28.3951,29.8817,40.5625,38.2523,63.6053,22.2703,57.8235,70.6176,46.4138,50.8696,43.1783,43.3168,30.4783,44.1622,44.9773,41.9811,57.8721,51.3882,32.0556,40.6935,37.1128,41.552,47.7054,45.0,24.022,28.25,32.427,45.2136,55.6599,49.7842,32.4948,35.7093,40.1067,42.8189,57.4355,31.9783,42.7722,59.3182,34.1786,66.7818
Arcata/Eureka,47.5957,47.2326,35.0444,27.0714,36.8542,42.4524,35.4912,47.9184,24.7234,33.1346,23.7959,37.7887,32.6765,43.5227,45.4615,45.6429,39.4565,28.7209,34.4,41.4107,45.0769,49.12,34.7714,31.3696,36.2424,58.641,35.0811,94.4595,53.9268,59.8936,42.45,75.2222,35.7576,47.0833,48.7647,41.9118,34.6,38.7037,33.4667,30.55,49.8333,56.0238,41.4545,35.2041,60.3514,57.4783,93.4615,41.2593,97.6364,64.4359,108.3488,42.2273,50.3939,88.0,63.6818,51.6522,67.8088,92.3396,55.1346,58.4235
Asheville,29.9756,38.8571,32.7172,22.3168,43.1071,38.5043,36.188,27.9561,21.0706,35.6729,37.2973,61.6528,35.6066,41.125,40.4886,27.8026,30.7215,47.1217,42.3867,42.7536,21.6203,39.1084,31.9375,41.8614,40.6923,49.3864,27.7692,74.4194,38.9009,40.6623,48.2235,56.3519,73.3864,45.5391,35.25,44.1765,56.0383,36.127,31.0479,29.0796,36.1328,54.2197,42.6974,50.7325,32.844,34.5346,30.6833,39.5732,42.8232,42.88,34.3707,44.4109,37.123,42.9888,41.7304,41.5156,41.9237,34.5236,30.0636,38.8273
Ashland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4444,33.0,17.7143,29.1739,44.9167,35.9206,42.8,45.9464,58.0,38.9,18.6,51.5,31.3333,31.6923,42.3333,39.2105,29.0263,53.74,37.0638,41.9565,59.75,35.625,10.8571,12.0
Aspen,38.8424,35.1706,26.2175,22.95,29.7778,38.2742,31.1653,34.3023,26.7714,24.3043,29.6087,58.3169,32.369,32.9402,33.3549,26.8654,25.5588,23.7423,34.4968,35.1429,27.975,22.7925,93.4167,51.2669,53.3759,47.8481,40.5205,29.0755,107.5,50.6772,68.5517,54.1616,24.0941,33.5538,51.413,71.7976,62.8231,60.0352,44.064,50.8533,51.1837,51.7514,54.457,52.6028,63.3375,84.9157,71.0256,58.1219,72.6106,64.0571,63.0789,24.9825,51.5366,52.8378,44.3453,57.6321,28.2794,100.9709,40.9057,67.1818
Atlanta,32.0809,38.6483,30.048,29.4287,41.1014,41.9045,36.9846,36.7086,29.6568,26.2521,28.4112,45.1754,34.9739,37.9707,34.3012,32.4498,31.5715,45.8101,56.6296,63.0769,35.5824,33.1895,32.5821,36.7762,55.3654,34.6467,36.5639,70.0047,35.0931,41.5308,39.7671,32.0269,31.3643,28.1517,24.9216,47.0388,51.2787,40.228,28.5835,32.3359,32.0515,54.0644,44.473,42.6237,31.7893,26.243,32.9389,33.8091,33.9834,41.9241,34.8579,42.5657,37.9588,49.1536,50.1632,40.6548,32.4458,29.2804,28.0481,33.6994
Atlantic City,29.9934,38.1037,26.6463,23.2868,46.046,50.9948,41.6753,49.227,30.4434,28.1084,26.9107,35.8247,38.3741,46.9742,53.0561,34.3223,41.8231,34.1071,41.6838,51.6107,47.2958,87.5472,36.7738,40.3,39.5,40.2674,45.4583,34.6429,46.4819,57.6957,59.313,41.9259,47.093,36.9302,18.7609,51.3409,42.4521,44.2813,24.6455,72.0435,62.129,62.028,80.8679,57.7027,26.8261,46.641,44.274,26.35,38.519,43.3,30.6377,44.7838,44.9872,44.5833,55.1573,72.6092,64.449,37.2083,37.0909,32.21
Augusta,33.6765,46.5,22.828,21.6667,32.9625,45.8391,26.7403,25.6883,21.2121,22.2273,27.7241,32.9268,40.0256,39.4,29.2195,26.92,18.2432,56.8594,56.2472,52.1875,35.2468,40.9138,23.1515,51.5345,57.8636,41.75,42.5873,79.75,36.6203,64.623,51.6296,25.0196,19.7736,30.2759,16.4286,48.9623,49.3554,33.7333,30.8757,28.576,29.1015,55.4588,46.2244,43.9379,34.2578,19.9184,35.504,46.5,22.6835,36.0971,34.6565,46.8121,40.5638,53.0611,41.0134,44.3231,25.77,24.16,32.7303,23.9341
Austin,29.8372,31.8847,27.4953,28.3274,36.8404,35.048,30.1984,32.2041,24.319,30.8029,52.2299,34.9758,26.1235,33.0845,31.1136,28.3491,28.1713,35.6978,42.6427,35.895,25.6775,24.4238,23.7259,31.0524,30.7151,24.6808,26.3668,33.1192,31.5286,35.2286,35.907,33.8836,28.1043,25.7733,24.307,30.8906,31.1427,28.5645,27.0188,33.7649,41.9315,37.1418,36.5938,40.856,31.4319,28.4867,27.8114,28.0236,29.4037,35.7644,30.3172,35.165,42.8513,42.2516,41.9816,40.4707,29.1918,30.2922,30.287,33.1707
Bakersfield,39.4393,26.0104,32.4557,30.5895,31.1101,33.0726,35.519,32.3679,23.6167,21.7885,16.6957,28.098,32.806,47.4035,25.4949,28.3226,31.3068,26.9306,37.8471,33.9907,35.2813,28.6224,27.6557,37.3026,24.1,23.9123,33.5593,32.3036,31.7222,46.6406,37.7534,48.0306,51.3404,28.2069,29.7547,63.325,40.3279,45.5395,28.875,28.9344,31.9048,27.7313,37.3387,48.7595,39.6167,44.3293,45.662,28.7639,50.8125,44.3429,40.3333,33.5429,48.84,47.7439,60.971,40.8118,38.9853,48.4744,31.4308,68.4646
Baltimore,27.0378,29.9109,27.4101,28.8037,32.8007,39.0036,35.1527,36.2905,29.9553,22.924,23.0349,31.1123,25.1389,29.731,25.7019,23.9956,27.694,35.8301,42.9821,37.5055,26.081,24.1198,20.1108,28.9175,28.4363,23.6443,23.7733,31.0488,31.439,39.3341,34.9236,33.4529,27.7284,23.4817,21.5878,29.1256,29.6105,31.1866,24.0344,29.2117,37.4363,35.3572,39.8158,38.3293,30.3148,27.5927,30.0892,29.5383,27.887,35.8088,29.4492,34.7492,36.6288,39.9312,44.3897,39.1477,26.3292,29.0888,28.4878,27.1049
Bangor,,30.0769,,15.0,31.0,41.0,11.9333,14.76,19.125,25.8462,17.2143,59.1429,11.6667,,,18.25,21.0909,64.5588,43.0,70.119,44.8966,22.6875,83.4545,,,,77.3636,,32.7778,30.3214,35.5714,35.6279,26.9583,37.125,59.4375,66.5,47.1385,50.4769,40.6846,40.8152,51.3,31.0127,44.2971,43.1034,33.816,44.3095,59.0235,52.2759,42.7326,42.2029,40.3152,47.178,32.7381,64.2381,48.5643,36.5774,42.1942,36.7063,44.5506,49.055
Barrow,31.0,17.2941,26.2703,25.8824,17.2333,32.68,28.44,13.6207,13.5333,14.5,29.76,19.75,12.75,24.2,14.9375,23.8947,19.7692,24.2857,17.8,32.25,18.1818,10.8182,16.4706,26.6333,29.35,45.6522,28.4286,41.3913,20.25,46.5385,26.4706,26.7059,22.8,8.5556,49.7273,18.4167,40.6364,22.0909,32.4286,11.0,46.375,39.2222,25.6667,28.7857,31.8571,41.8,12.375,42.6154,16.875,22.9,12.6364,24.0,28.2308,11.5,15.2727,11.0,14.9286,6.3846,17.9333,36.2143
Baton Rouge,32.2451,33.109,32.1889,33.9744,36.56,40.1574,28.7338,36.8136,24.8398,28.6741,31.7104,38.4151,25.482,20.6122,38.986,35.0158,37.161,40.1561,52.663,45.2241,38.7421,33.6992,35.7347,39.3702,58.1801,30.1239,50.3582,81.6087,50.2863,45.7951,54.2532,37.5172,32.8235,39.3846,40.7431,41.414,42.5822,50.2235,39.628,39.8613,43.0118,43.1963,40.8975,54.6612,47.4279,49.9715,27.3466,58.7951,38.0484,42.9684,35.6364,61.1754,46.3417,59.4032,39.0121,40.6184,33.9401,26.5088,30.2606,40.2952
Beaumont/Port Arthur,34.7544,37.8947,43.4091,35.3696,26.5098,28.5098,23.1,38.5897,28.675,27.3667,40.8,71.2333,23.7143,23.4,43.963,48.3704,65.7931,57.6429,30.7647,41.7083,,,6.0,29.95,67.0,,,,,,,,,,,,48.0714,38.6471,33.8462,40.0,18.9545,25.7333,46.9091,23.64,25.4643,42.303,19.05,20.0278,21.8,22.5,24.931,32.8095,41.9024,24.6452,32.7838,28.6316,15.1111,32.3333,45.1111,84.6923
Belleville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.68,38.3846,52.55,42.0303,21.6875,48.5405,51.4306,31.8684,20.0,22.6429,26.4737,24.6111,18.4194,45.5263,38.4545,45.2917,26.2414,41.9571,29.0755,70.5122,36.6154,28.2,39.8696,25.1481
Bellingham,15.871,21.0714,26.2667,20.1111,13.32,5.6667,,15.9286,,,19.44,18.4688,29.5625,28.5455,31.5526,33.5789,15.2143,2.0,,,,,10.5882,34.5313,31.0952,40.95,19.7917,17.3,34.2222,19.5,,,,33.1786,35.1333,27.7059,42.1957,35.4722,16.9615,19.9452,17.9091,40.2698,35.0351,21.7727,25.7333,39.8444,20.4853,28.2317,42.411,33.6667,19.9825,43.9412,22.175,19.1481,20.925,23.6522,18.2,18.225,39.2857,20.7647
Bemidji,35.0625,12.4286,22.3333,32.7143,43.0,17.9167,28.5,41.7778,17.75,20.6875,85.6,15.0,35.037,40.5294,15.0714,18.4615,19.0,41.2857,88.3125,89.2143,140.875,23.8571,57.4,92.0,25.6429,61.6667,53.0,105.0,183.9,56.0,16.4545,144.1429,14.6667,43.375,15.2857,70.7222,47.8824,23.8125,11.7692,59.8421,27.1429,31.7,38.8462,74.2308,41.4615,18.375,24.3333,55.0,131.6429,68.3478,19.375,55.1429,11.0,40.8889,47.2727,127.1667,26.0,25.1429,28.1429,51.2105
Bend/Redmond,32.1594,35.1493,25.9787,23.0444,45.325,26.764,27.3333,28.3108,27.0682,25.1455,25.9455,34.4839,43.1071,32.0952,29.1596,30.4286,52.0526,33.0804,34.0645,37.2705,19.6087,35.3675,33.5172,33.2617,40.7222,41.8906,29.9114,39.4176,51.0112,34.3534,53.5926,52.8413,33.4337,40.0826,43.9014,56.2813,23.8256,34.3294,26.7619,25.3696,25.3673,36.1603,38.9732,45.0569,31.5647,37.5179,55.2,65.8806,98.1724,57.4231,63.4568,35.5915,39.3241,43.981,31.4315,36.0204,38.2323,29.6279,35.6522,53.1969
Bethel,29.1333,28.6129,17.3103,10.8929,21.2917,47.4375,28.7931,15.2619,11.1563,20.48,31.9756,13.5,12.5455,59.8,26.2667,18.5,10.9444,9.7333,12.625,8.1667,14.0,14.2308,8.4615,28.1613,17.381,15.3571,30.7895,26.95,21.5714,21.7647,36.6667,12.7391,13.1481,31.7037,22.7059,24.0,40.8333,12.8571,26.8235,21.4,11.8,32.6,16.8889,12.1429,20.4286,39.8125,17.1538,25.2857,34.6111,34.8667,7.7,32.6429,17.8571,17.7778,17.0,13.48,15.875,36.3889,21.1818,27.1579
Billings,33.0,26.4634,30.4,28.9677,30.3444,28.36,27.1468,29.1772,25.7556,12.3667,31.0308,32.6931,25.3571,27.6667,23.8293,21.8636,26.2679,37.4167,32.2957,34.0309,24.6393,20.9839,28.6429,39.2794,29.2941,31.675,42.0323,35.0615,41.3548,39.4921,37.1724,36.3737,15.6182,33.4444,19.9167,43.7193,27.7732,31.3217,33.3293,36.6778,35.7206,30.6293,37.3769,33.0828,74.2373,34.7313,24.9432,23.2609,33.2222,48.1011,37.7237,24.4865,39.5052,47.3057,55.7613,48.9366,36.8,47.0714,50.1882,54.0412
Binghamton,,47.5789,,,,14.1538,16.5652,20.625,6.0,35.3333,34.5,46.2381,57.9355,45.0333,33.8182,24.8077,25.4783,22.4348,26.3333,22.375,10.7619,12.1304,42.8696,89.4615,35.5,42.1111,43.1667,80.5185,,36.2917,43.25,64.16,77.913,37.5938,28.125,60.8846,38.1667,34.1429,143.9286,28.4286,24.9231,31.875,44.5455,46.4828,39.5263,31.8235,38.9615,46.9231,83.6154,94.9231,48.4444,33.8148,41.2143,67.64,55.56,43.6923,61.2857,29.5862,114.5294,51.4615
Birmingham,27.928,29.4184,27.732,26.8039,30.9197,36.6686,30.7291,32.493,24.11,26.5,23.0267,31.7847,22.3311,36.0193,29.0617,32.3592,32.4912,37.3058,40.8852,36.3396,29.655,26.3682,25.9315,32.5895,42.9124,32.6837,34.6881,41.9677,30.5816,44.2736,35.4888,29.1298,24.9091,29.3429,19.1713,29.1566,36.5424,39.3392,31.9577,30.5674,36.439,43.2077,37.8671,41.7136,38.266,30.6294,29.8874,33.447,31.5589,37.9839,30.5873,38.5784,42.5051,46.0685,43.5758,44.2589,40.9501,35.3812,27.673,41.099
Bismarck/Mandan,39.9934,34.3012,27.0435,35.3711,26.3438,33.162,28.0672,21.1069,25.622,17.033,21.5227,29.7576,36.5753,39.0,21.3871,25.5735,28.4068,39.2278,36.7794,30.4844,32.3051,21.0682,24.45,49.7541,32.5897,31.1364,31.0227,46.9273,28.4474,34.1176,32.1954,29.1127,37.3778,32.9753,62.7073,60.1184,42.5422,36.4146,30.8675,38.3714,43.1818,51.7295,41.664,36.25,27.2336,31.1625,34.1507,53.7792,51.4821,75.1917,57.4706,41.8317,45.6759,61.2623,38.5566,43.7222,47.8846,41.1354,34.5513,48.3729
Bloomington/Normal,35.8175,38.9389,34.408,42.1839,34.2159,32.6111,25.4433,33.5349,34.6212,17.9655,31.0167,30.4079,36.1316,46.2333,32.9545,14.6279,19.6545,37.7966,39.0,33.8077,26.5946,21.1143,32.0882,32.4792,82.5614,18.0,43.675,44.5122,47.9059,37.806,47.4831,31.5882,53.25,43.45,43.5208,40.1765,64.5604,53.9506,37.0494,62.3699,40.6883,41.6667,34.5217,56.1942,52.1452,39.8738,36.1075,57.186,35.5781,72.1818,35.4565,35.1343,45.1954,56.0256,45.009,37.8198,26.0,32.0106,47.641,38.9263
Boise,29.6336,30.2823,22.8947,28.383,28.2279,36.5102,34.2352,28.1473,28.7875,25.6955,28.8462,31.3153,30.9466,32.3926,28.5546,26.5447,25.8661,33.1678,33.4207,28.6429,21.0503,24.3964,28.0106,42.135,37.955,33.8819,31.2625,32.0475,25.5012,27.9296,26.3376,32.8388,24.662,28.7798,36.3824,29.8455,35.7719,30.4849,25.5567,25.8727,34.0311,31.0569,26.0,35.6622,29.5434,29.9578,30.0932,31.8681,34.8989,37.5929,30.9042,36.3679,35.7156,35.574,39.5417,36.5247,31.7339,28.6768,36.3357,40.7274
Boston,32.4652,45.1513,37.4272,30.5373,36.8221,40.0548,37.067,38.8203,30.1584,29.3471,28.1918,39.3115,32.6775,45.4304,33.215,36.3526,30.9719,36.1695,44.6974,41.1507,35.8533,32.0604,25.4177,39.6601,37.1919,34.087,38.2604,44.4884,57.527,62.941,56.1157,45.5964,45.4378,38.7718,27.3539,43.8814,47.1389,36.3162,36.8999,45.8357,38.98,42.7631,49.0503,54.5373,45.6707,44.8946,44.4732,38.2458,65.0494,55.3523,55.9551,54.0334,47.2467,53.0228,58.4748,56.4769,44.1548,48.7327,38.459,63.2305
Bozeman,34.7257,26.0078,28.03,32.1071,23.2222,31.16,23.4045,26.0152,25.3407,24.0769,32.9286,47.4962,23.2273,29.1935,27.2696,25.3617,33.1724,34.8462,37.118,29.4161,26.8962,19.0,32.2895,44.0186,37.9375,25.9054,25.918,26.5873,29.1132,34.521,34.895,30.7982,19.2982,23.8352,33.5909,53.7249,26.5924,35.2444,22.2576,32.6585,47.1977,30.3231,34.1903,34.6111,28.0648,32.4128,29.8317,32.7529,33.7861,44.6768,34.7414,28.8828,37.6541,38.7823,45.9077,30.3792,30.7922,29.8217,38.3884,29.5714
Brainerd,47.3333,45.25,37.0909,36.25,21.875,14.5833,9.4286,14.75,212.25,23.3,22.0,14.5,32.5294,102.5556,34.3,12.0,13.8333,37.0,35.125,28.5714,105.25,5.5714,148.625,20.5833,58.625,15.6667,177.5,226.25,39.125,30.1429,37.7273,30.4,21.1667,35.8333,160.4,101.2857,188.2727,87.9091,21.6667,51.5,73.7,57.7692,142.4667,25.3,58.9,15.7,26.7857,131.0667,140.8235,140.4118,65.9286,39.75,118.6667,38.0,36.7778,51.0,83.375,11.4,75.2,135.8333
Branson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.5,81.5714,58.1429,40.7,16.75,17.0,,,,,87.0,41.0,34.6667,59.8,28.4286,78.75,31.5,67.6,
Bristol/Johnson City/Kingsport,20.5333,26.2222,33.9149,29.913,32.2308,24.64,25.0345,30.1528,32.1628,21.0286,24.95,26.525,21.9804,35.6818,28.2712,70.2941,21.5094,49.3281,69.6667,56.0364,54.4902,28.375,41.1304,32.0357,38.7544,73.5909,38.9333,91.0882,29.7692,50.8852,53.9286,30.825,29.7143,37.8148,21.8824,40.0435,70.6866,45.3412,25.4,34.4211,25.5242,51.7292,49.93,53.1574,33.9107,25.4043,63.8923,55.2679,24.2143,39.3077,31.4681,39.2632,41.1224,40.7115,50.7739,42.9894,26.4828,33.7978,23.7143,41.8833
Brownsville,28.6129,26.1429,29.472,33.0541,40.2791,42.1275,34.5,34.3019,25.1111,41.6,21.8214,25.878,27.2821,23.7692,24.25,40.7,34.3143,38.7,34.3833,40.4923,16.7241,34.1111,32.7222,60.7586,49.5185,33.2353,52.1892,26.0938,17.16,21.1818,18.6129,44.84,24.25,26.4231,10.25,14.2727,48.9091,46.16,23.5333,24.9077,41.8958,40.3253,47.2366,51.9538,31.3146,28.5568,42.3067,33.0247,40.1111,38.8214,24.5349,37.2836,37.4022,38.8131,38.3205,44.9241,28.46,41.8056,21.7895,32.6
Brunswick,34.5882,50.2083,31.6765,29.2692,39.7778,29.037,25.2121,28.2188,39.2414,31.2286,26.75,32.4444,34.5667,45.9697,30.9143,25.8148,21.0909,28.5833,67.0357,42.3871,47.1923,51.0455,15.0435,78.0,65.7879,39.7826,51.6364,33.1379,26.3333,36.2,16.8636,68.9375,,13.7692,16.6667,,42.9444,20.8571,28.92,42.2286,25.4286,42.6154,43.7778,23.4737,22.1875,13.24,20.7778,99.1667,57.9048,59.1481,23.9615,51.05,38.1071,47.5952,36.0488,43.303,27.5556,26.1071,38.0833,70.5714
Buffalo,31.3745,34.2995,33.8172,32.0477,32.925,39.3049,37.4264,38.3929,29.9951,23.8786,23.4147,36.8891,33.7163,40.4051,32.2942,31.5609,27.2871,36.8312,47.7377,43.0685,33.7598,31.5649,26.4694,40.8531,33.4841,26.4235,31.4007,35.8477,40.75,48.4816,45.8823,38.4752,31.373,26.0647,26.7601,39.4059,45.4647,37.2068,37.0014,39.6641,38.6765,42.1158,45.7057,47.6127,43.8323,33.9429,35.0199,37.035,39.0405,50.4128,36.1659,43.8939,42.0736,42.7938,51.539,47.3198,32.5329,35.7754,38.288,51.5611
Bullhead City,,,,,,,,,,,,,,,,,,,,,,,,,,83.6,29.2727,11.5455,20.6,33.0,30.0952,35.3333,19.7143,27.3529,17.75,38.0588,13.8,17.5,,,,,,,,,,,,,,,,,,,,,,
Burbank,23.7196,27.6645,22.891,24.3344,26.9259,25.8677,27.7448,26.317,20.7471,22.844,22.9627,27.3668,27.6667,21.1662,24.9339,23.9049,22.9835,27.7237,34.007,25.9415,20.4174,21.3695,20.2428,30.5276,32.3475,22.8176,22.3783,25.1901,24.802,24.2415,25.2878,30.3224,24.0985,24.3644,24.0845,23.5083,26.9332,27.7828,28.048,27.6704,28.2966,24.5487,29.2195,31.1808,24.7813,25.1339,32.4373,29.1429,25.4756,35.6451,29.3696,27.3628,32.7541,30.8429,32.9455,32.9966,27.1659,26.8832,28.6103,31.9796
